cluster,longitude,latitude,edad,PRECTOTCORR,PAR,arcillas_0-30cm_mean,arena_0-30cm_mean,limo_0-30cm_mean
1,-75.87,4.33,6.8,1.6,141.21,37.7,25.73,36.6
1,-75.87,4.33,6.3,1.6,141.21,37.7,25.73,36.6
0,-76.44,3.33,6.2,0.33,136.06,39.37,19.37,41.3
0,-76.44,3.33,7.2,0.33,136.06,39.37,19.37,41.3
0,-76.05,4.56,6.1,1.77,141.21,38.33,27.3,34.37
0,-76.05,4.56,6.1,1.77,141.21,38.33,27.3,34.37
0,-76.05,4.56,6.1,1.77,141.21,38.33,27.3,34.37
0,-76.03,4.61,6.3,1.77,141.21,39.9,25.93,34.17
0,-76.33,3.32,6.6,0.33,136.06,39.03,25.67,35.33
0,-76.31,3.28,6.0,0.33,136.06,38.43,25.57,36.0
0,-76.44,3.33,7.2,0.33,136.06,39.37,19.37,41.3
0,-76.27,3.25,6.6,0.24,136.06,40.77,23.63,35.63
0,-76.27,3.25,6.1,0.24,136.06,40.77,23.63,35.63
0,-76.31,3.28,6.1,0.33,136.06,38.43,25.57,36.0
0,-76.05,4.56,6.6,1.77,141.21,38.33,27.3,34.37
0,-76.27,3.25,6.1,0.24,136.06,40.77,23.63,35.63
0,-76.05,4.56,6.0,1.77,141.21,38.33,27.3,34.37
0,-76.51,3.26,6.8,0.33,136.06,44.03,23.87,32.13
0,-76.2,4.25,6.0,1.77,135.71,36.37,25.37,38.23
0,-76.03,4.61,6.8,1.77,141.21,39.9,25.93,34.17
0,-76.2,4.25,6.1,1.77,135.71,36.37,25.37,38.23
0,-76.2,4.25,6.1,1.77,135.71,36.37,25.37,38.23
0,-76.18,4.16,6.6,0.94,135.71,39.4,26.57,34.0
0,-76.18,4.16,6.1,0.94,135.71,39.4,26.57,34.0
0,-76.2,4.25,6.1,1.77,135.71,36.37,25.37,38.23
0,-76.51,3.26,6.8,0.33,136.06,44.03,23.87,32.13
0,-76.18,4.16,6.1,0.94,135.71,39.4,26.57,34.0
0,-76.18,4.16,6.1,0.94,135.71,39.4,26.57,34.0
0,-76.2,4.25,6.1,1.77,135.71,36.37,25.37,38.23
0,-75.97,4.63,7.2,1.77,141.21,38.33,29.93,31.7
0,-75.98,4.63,7.2,1.77,141.21,38.43,30.87,30.67
0,-76.51,3.26,6.8,0.33,136.06,44.03,23.87,32.13
0,-76.51,3.26,6.3,0.33,136.06,44.03,23.87,32.13
0,-76.18,4.16,6.0,0.94,135.71,39.4,26.57,34.0
0,-76.18,4.16,6.1,0.94,135.71,39.4,26.57,34.0
0,-76.03,4.61,6.8,1.77,141.21,39.9,25.93,34.17
0,-76.31,3.28,6.1,0.33,136.06,38.43,25.57,36.0
0,-76.27,3.25,6.1,0.24,136.06,40.77,23.63,35.63
0,-76.02,4.6,6.1,1.77,141.21,40.63,25.83,33.53
0,-76.02,4.6,6.1,1.77,141.21,40.63,25.83,33.53
0,-76.02,4.6,6.1,1.77,141.21,40.63,25.83,33.53
0,-76.12,4.35,6.1,1.77,135.71,33.83,26.03,40.13
0,-76.12,4.35,6.6,1.77,135.71,33.83,26.03,40.13
0,-76.33,3.73,7.2,0.33,136.06,38.07,24.77,37.17
0,-76.07,4.51,6.1,1.77,135.71,36.23,24.83,38.93
0,-76.02,4.6,6.1,1.77,141.21,40.63,25.83,33.53
0,-76.07,4.51,6.1,1.77,135.71,36.23,24.83,38.93
0,-76.07,4.51,6.1,1.77,135.71,36.23,24.83,38.93
0,-76.16,4.28,6.1,1.77,135.71,38.3,24.33,37.4
0,-76.16,4.28,6.1,1.77,135.71,38.3,24.33,37.4
0,-76.02,4.6,6.6,1.77,141.21,40.63,25.83,33.53
0,-75.87,5.06,6.0,1.8,138.95,39.33,28.67,32.0
0,-76.3,3.71,6.6,0.33,136.06,36.8,26.67,36.57
